source,target,date_min
file10767,file10779,1536-01-18
file10769,file10770,1536-01-20
file10769,file10787,1536-01-20
file10770,file10787,1536-01-20
file10771,file10791,1536-01-21
file10771,file10786,1536-01-21
file10773,file10779,1536-01-22
file10776,file10782,1536-01-28
file10779,file10790,1536-02-04
file10779,file10788,1536-02-04
file10786,file10791,1536-02-01
file10786,file10801,1536-02-18
file10788,file10796,1536-02-22
file10788,file10790,1536-02-22
file10789,file10811,1536-02-23
file10789,file11493,1536-02-23
file1079,file1107,1550-11-13
file10790,file10796,1536-02-27
file10794,file10795,1536-03-03
file10794,file10803,1536-03-03
file10795,file10803,1536-03-06
file10797,file10806,1536-03-06
file10797,file10807,1536-03-06
file10797,file10820,1536-03-06
file10798,file10824,1536-03-08
file108,file95,1548-04-16
file108,file128,1548-05-02
file108,file137,1548-05-02
file108,file178,1548-05-02
file108,file119,1548-05-02
file108,file139,1548-05-02
file10800,file10814,1536-03-10
file10805,file10839,1536-03-20
file10806,file10825,1536-03-22
file10806,file10807,1536-03-22
file10806,file10822,1536-03-22
file10806,file10844,1536-03-22
file10806,file10843,1536-03-22
file10806,file10808,1536-03-22
file10806,file10809,1536-03-22
file10806,file10818,1536-03-22
file10807,file10808,1536-03-22
file10807,file10843,1536-03-22
file10807,file10809,1536-03-22
file10807,file10818,1536-03-22
file10807,file10825,1536-03-22
file10807,file10822,1536-03-22
file10807,file10844,1536-03-22
file10808,file10844,1536-03-22
file10808,file10843,1536-03-22
file10808,file10809,1536-03-22
file10808,file10818,1536-03-22
file10808,file10825,1536-03-22
file10808,file10822,1536-03-22
file10809,file10844,1536-03-22
file10809,file10843,1536-03-22
file10809,file10818,1536-03-22
file10809,file10825,1536-03-22
file10809,file10822,1536-03-22
file10811,file11493,1536-03-01
file10812,file10842,1536-03-26
file10813,file10840,1536-03-27
file10813,file10829,1536-03-27
file10813,file10819,1536-03-27
file10813,file10845,1536-03-27
file10814,file10841,1536-03-28
file10814,file10835,1536-03-28
file10814,file10836,1536-03-28
file10817,file10826,1536-03-30
file10818,file10822,1536-03-28
file10818,file10844,1536-03-28
file10818,file10843,1536-03-28
file10818,file10825,1536-03-28
file10819,file10845,1536-03-30
file10819,file10840,1536-03-30
file10819,file10829,1536-03-30
file1082,file1109,1550-11-17
file10820,file10834,1536-03-31
file10822,file10852,1536-04-04
file10822,file10844,1536-04-04
file10822,file10843,1536-04-04
file10822,file10853,1536-04-04
file10822,file10850,1536-04-04
file10822,file10825,1536-04-04
file10825,file10844,1536-04-07
file10825,file10843,1536-04-07
file10825,file10853,1536-04-07
file10825,file10850,1536-04-07
file10825,file10852,1536-04-07
file10829,file10845,1536-04-12
file10829,file10840,1536-04-12
file10835,file10851,1536-04-18
file10835,file10836,1536-04-18
file10835,file10841,1536-04-18
file10836,file10851,1536-04-18
file10836,file10841,1536-04-18
file10837,file10859,1536-04-18
file1084,file1112,1550-11-18
file1084,file1087,1550-11-18
file1084,file1104,1550-11-18
file10840,file10845,1536-04-18
file10841,file10851,1536-04-19
file10842,file10863,1536-04-21
